timestamp,electricity_demand_kw,production_volume,ambient_temperature,humidity,machine_load_pct,shift,is_weekend,price_per_kwh
2023-01-01 00:00:00,163.27,21.77,25.88,42.89,39.77,3,1,4.0
2023-01-01 01:00:00,178.18,15.65,23.87,41.37,41.16,3,1,4.0
2023-01-01 02:00:00,117.88,19.73,26.55,41.85,42.17,3,1,4.0
2023-01-01 03:00:00,105.75,20.56,26.84,41.83,38.81,3,1,4.0
2023-01-01 04:00:00,134.82,19.28,22.5,39.5,44.11,3,1,4.0
2023-01-01 05:00:00,178.27,20.96,23.47,38.94,48.29,3,1,4.0
2023-01-01 06:00:00,483.66,39.93,25.62,49.99,84.9,1,1,6.5
2023-01-01 07:00:00,448.86,39.44,24.95,48.48,71.38,1,1,6.5
2023-01-01 08:00:00,439.18,46.41,25.4,41.02,80.55,1,1,6.5
2023-01-01 09:00:00,450.44,46.6,24.15,49.58,80.78,1,1,6.5
2023-01-01 10:00:00,482.38,42.57,26.75,46.68,86.21,1,1,6.5
2023-01-01 11:00:00,433.98,48.68,26.59,43.51,77.25,1,1,6.5
2023-01-01 12:00:00,432.78,54.02,25.53,39.0,74.8,1,1,6.5
2023-01-01 13:00:00,458.99,56.25,27.12,46.84,84.18,1,1,6.5
2023-01-01 14:00:00,396.15,49.8,26.13,54.46,69.9,2,1,6.5
2023-01-01 15:00:00,382.28,27.98,24.14,45.21,66.88,2,1,6.5
2023-01-01 16:00:00,318.02,29.2,25.98,50.13,68.7,2,1,6.5
2023-01-01 17:00:00,382.34,36.18,23.99,44.07,62.94,2,1,6.5
2023-01-01 18:00:00,371.51,39.14,26.74,49.74,70.85,2,1,6.5
2023-01-01 19:00:00,379.42,36.59,25.35,44.38,68.48,2,1,6.5
2023-01-01 20:00:00,356.91,34.08,25.15,33.11,72.66,2,1,6.5
2023-01-01 21:00:00,373.88,36.06,24.41,41.52,68.98,2,1,6.5
2023-01-01 22:00:00,156.13,20.37,27.26,45.79,40.18,3,1,6.5
2023-01-01 23:00:00,128.96,5.86,25.19,50.55,37.72,3,1,6.5
